,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
64,30026.5398,195.5274351,-0.120297602,412.816265,144.4878766,977.5336999,67,91.12865497,195,0.647727273,0.936747723,18.81578947,10.99122807,358.0271973,342,3759,46923,629547,6435,66391,801251,10454419,162045,1553261,17756733,221128325,4607127,41814649,456083945,5439634177,342,-8.53E-14,5606.973684,-9449.44783,5.58E-13,-4337.552632,13707.77101,-270979.1363,40965.39474,-64583.59834,687522.8043,-3065259.387,16529.90859,-570837.9759,2750531.582,-38262640.14,0.398176947,0.096887387,0.007389103,0.001366861,-1.18E-06,-0.00022408,4.18E-06,121,2.857099674,2.367963142,6.765506721,I,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,121,
65,614.5783,27.97329789,0.193433602,517.672265,192.3268176,0,128,148.2857143,167,0.018372703,0.92842401,16.85714286,11.14285714,291.0738884,7,78,1096,16848,118,1532,22556,365168,3282,42958,616654,9733702,94078,1212182,16979366,261222758,7,3.55E-15,226.8571429,-420.244898,-3.55E-15,217.1428571,-758.6122449,25634.68222,1292.857143,-933.6734694,27919.72595,-164337.5085,-4834.897959,25989.41691,-205861.99,3462694.022,31.01457726,551.8367687,726.8927459,1970.63434,2356942.424,46113.0382,86940.92121,122,2.691628091,0,0,PS,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,122,
66,56453.4067,268.1020512,1.326513256,338.1004928,218.76858,922.2554324,46,159.1477449,244,0.954005935,0.762445923,10.88335925,18.00466563,343.7653668,643,11577,258985,6389445,6998,133135,3045815,75935413,99848,1988775,45952995,1143337281,1628714,33598375,781101755,19356298957,643,9.73E-13,50544.986,-93584.47265,1.71E-13,7138.349922,-29859.00327,1067518.224,23686.25194,35666.69283,1369066.987,405917.4443,26460.36671,572844.4368,-24180.11781,62428057.53,0.179541462,0.005412515,0.000488551,3.06E-05,3.52E-09,2.10E-06,-1.28E-09,123,1.545470985,2.727755363,4.215666767,I,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,123,
67,123881.4259,397.1532831,-1.375653712,517.7032495,347.7087469,1698.472046,83,204.9107016,255,0.859317905,0.740880225,19.29482636,25.14103473,590.0124647,1411,35474,1155506,44197562,27225,656355,20626645,766441287,652297,14920199,438757985,15285088595,17709693,389448603,10716607873,3.46E+11,1411,4.02E-12,263652.9341,1889930.383,-4.55E-13,-28109.67045,-255230.2312,-13790765.79,126995.3522,-394480.1086,12531738.4,-52528223.3,223029.1063,-1562253.133,-6105375.455,-751160945.1,0.196214861,0.005508879,0.001863652,0.000400046,3.35E-07,2.79E-05,8.43E-08,124,1.488899126,3.28078305,4.884755017,MC,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,124,
68,62599.1897,282.3185502,0.747617502,580.8727017,185.6538072,1460.007912,59,74.06732118,94,0.630973451,0.947548551,24.62973352,19.19214586,538.6731425,713,13684,351198,10682422,17561,413696,11799246,378391646,532703,13938718,418817544,13792684900,17767619,493804154,15291079272,5.11E+11,713,2.05E-12,88572.67602,542379.3223,1.02E-12,76662.72651,206688.3884,18672565.18,100180.2496,-61360.72707,16093079.38,66552821.88,-287539.6412,17823016.32,-7359747.558,3900374718,0.37129118,0.091485521,0.007334425,0.001291147,6.93E-07,-0.000155172,-3.91E-06,125,3.128794989,2.513473103,7.86414205,I,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,125,
69,92537.9326,343.2534853,1.136596527,424.1161895,302.4161053,1309.089054,113,186.2248577,237,0.890202703,0.701113049,17.42125237,23.73149905,456.3488214,1054,25013,716817,22486901,18362,461077,13834245,450022843,400250,10661115,329848479,10922117001,9839090,275350921,8697304305,2.91E+11,1054,-4.76E-13,123221.0142,-372679.7201,-3.11E-12,25319.21442,144669.3125,5195073.71,80360.96395,280397.6562,6816189.643,33907036.46,66256.4706,4146783.674,30068772.66,659247965.9,0.18325596,0.003566252,0.001236743,4.07E-05,-9.14E-09,-2.43E-06,3.60E-10,127,1.402425936,3.08662835,4.328767651,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,127,
70,112380.032,378.2680277,1.389092649,521.5492345,280.4419556,1387.930235,133,205.1523438,250,0.928882438,0.843130203,16.93046875,28.5171875,540.868996,1280,36502,1283038,50474320,21671,649311,23368877,929219871,444317,13678189,493492843,19508096749,10149767,317768445,11430331211,4.47E+11,1280,3.03E-12,242103.6219,77456.0255,-6.39E-14,31315.02969,-139590.9104,10209230.88,77416.81172,-52838.4615,10027698.56,-12512738.11,5866.093348,4080883.28,-3502003.334,892865119.2,0.195019796,0.011564892,6.87E-05,5.38E-06,-1.03E-10,-5.79E-07,-4.03E-12,129,1.859740399,2.661168195,4.949082002,I,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,129,
71,6409.1737,90.33500653,1.146474894,232.4114218,134.9074305,410.3965351,84,121.9726027,167,0.304166667,0.814282945,5.616438356,7.082191781,228.7508522,73,517,6153,95089,410,3602,55862,1019468,3564,40940,721756,13861682,38990,555494,10431110,204593000,73,7.11E-15,2491.506849,16221.61531,1.42E-14,698.3013699,11413.04635,137843.3159,1261.260274,7855.135297,113832.8737,1361077.313,4805.432539,80923.24204,1079047.204,13852197.28,0.704216011,0.121979592,0.443918262,0.40651224,0.172570281,0.133992869,-0.006372916,131,1.722747375,1.765819132,3.042060275,PS,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,131,
72,423795.6363,734.5701893,0.094817179,1152.728676,485.4956581,2843.609762,76,189.4016988,255,0.927377522,0.906981344,56.29086389,28.60720945,1069.371134,4827,138087,4793883,185274585,271716,8127042,290467198,11513703672,19827424,609603338,22058893650,8.82E+11,1624353354,50703734646,1.84E+12,7.38E+13,4827,1.29E-11,843599.2691,-131072.0061,-8.23E-11,354005.4779,361164.8341,184316499.1,4532295.627,2541518.49,693269150.2,867273076.4,-2003144.199,441154783.3,577284472.9,2.13419E+11,0.230725806,0.025986565,2.66E-05,3.25E-06,-4.67E-12,-2.80E-07,2.98E-11,132,2.374333647,2.46685089,5.857127071,MC,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,132,
73,7550.5334,98.04915965,-1.067492937,150.3637243,71.5577789,354.1765351,84,147.0581395,197,0.868686869,0.87950054,4.604651163,6.430232558,146.6636986,86,553,4691,44725,396,2094,16832,158862,2386,10400,77634,709904,16392,58836,400874,3509892,86,-1.78E-15,1135.081395,-36.89561925,-3.82E-14,-452.372093,1049.296917,-11208.79721,562.5581395,-776.5035154,8811.019778,-28029.7949,224.5343429,-7067.106871,22711.38431,-179483.5698,0.229534821,0.020956633,0.002933951,0.000485573,4.15E-07,3.81E-05,-4.04E-07,133,2.101291105,2.355465301,4.949518285,I,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,133,
