,Unnamed: 0.1,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
1221,30,901632.0205,350.0256955,-0.734253052,418.067291,319.9737644,1570.8974,112,169.334854,222,7.727253574,6.03050713,248.8179562,192.8373358,445.4447149,10269.52,211349.72,5335727.76,149492540.6,272704.48,5349089.38,132872596.8,3708856319.0,8281730.72,156716979.3,3812829831.0,105000000000.0,271665927.9,5009115852.0,120000000000.0,3240000000000.0,10269.52,2.62e-11,986088.8145,-906285.9987,-2.54e-11,-263248.4401,2019168.793,-51049774.23,1040132.923,257533.1685,67399446.95,-110139347.3,-3494243.625,-45472013.33,315163034.2,-5487455576.0,1.686808815,0.020718671,0.006347279,0.00017524,3.02e-09,-5.47e-06,-1.95e-08,31,1.306567405,3.757522853,4.909456882,PS,../Images/Training/39.5 hold 1.bmp,31,30.0
1223,32,3667404.696,705.9349475,1.044100358,754.9594997,674.1184652,2691.920548,117,194.1410947,254,8.812544304,4.218517249,346.5870099,425.5531157,822.9079473,41771.46,1897115.79,102240764.4,6078553259.0,1545084.89,71665264.38,3922660548.0,235000000000.0,71532257.23,3370381748.0,184000000000.0,10966500000000.0,3707761669.0,177442000000.0,9680000000000.0,569875000000000.0,41771.46,8.24e-11,16080301.68,-25493784.56,3.74e-10,1492832.253,5277448.466,388027010.4,14381099.06,11196318.16,3405815501.0,4075736810.0,-2030795.339,1678854558.0,-1247632479.0,634225000000.0,1.532744414,0.003188869,0.000230924,1.3e-05,7.09e-11,1.7e-08,-2.8e-11,33,1.11992111,3.565648951,3.993245531,C,../Images/Training/39.5 hold 1.bmp,33,32.0
1224,33,7635079.181,1018.572711,0.728946634,1300.050245,920.6965558,6663.878418,105,196.0513953,255,7.356650876,6.61532419,556.8370607,629.8031214,1309.019518,86962.97,5845202.77,468499915.7,41449768045.0,5168004.76,373277084.5,31391634083.0,2880000000000.0,388613591.3,29534430858.0,2550000000000.0,238306000000000.0,32999006713.0,2590000000000.0,227826000000000.0,2.15e+16,86962.97,1.07e-09,75615502.66,-205351323.4,1.99e-09,25910432.51,66654519.8,49814825774.0,81491224.19,334235446.3,63758944779.0,529709000000.0,218951493.0,39695049978.0,548358000000.0,63186200000000.0,1.823917689,0.039123566,0.002262399,0.000152166,9.15e-09,8.06e-06,2.66e-09,34,1.412029009,5.125862206,7.237866131,C,../Images/Training/39.5 hold 1.bmp,34,33.0
1225,34,1186271.326,401.4923553,-1.513412536,455.3829827,368.0506844,1543.453305,125,201.5638003,255,8.51925599,5.517782126,200.1879057,244.185319,502.2354963,13511.54,352115.23,11168580.87,394332093.0,288670.96,7483256.8,233269260.8,8076192218.0,7472593.74,193621380.2,5888024195.0,197000000000.0,217904541.0,5655472245.0,168032000000.0,5450000000000.0,13511.54,1.93e-12,1992340.767,-566969.3929,-2.16e-12,-39604.50779,-3280700.218,-11443157.38,1305204.742,575382.3769,102065374.8,23961538.96,2483484.599,-5838523.386,-225534165.9,-666345865.5,1.58584332,0.011809126,0.002690463,1.09e-05,-1.94e-10,-3.83e-07,-4.25e-11,35,1.237283347,3.389352181,4.19358901,C,../Images/Training/39.5 hold 1.bmp,35,34.0
1226,35,7203184.28,989.344461,0.140331193,1309.749357,872.1314416,4968.84035,104,193.8330288,255,7.635525361,6.990600018,552.6630608,511.4076656,1349.410133,82043.72,4477885.52,289913909.2,20581114936.0,4839117.76,271838888.8,17358265965.0,1200000000000.0,384520306.8,21788253563.0,1370000000000.0,92900000000000.0,35357302809.0,2005930000000.0,124816000000000.0,8309610000000000.0,82043.72,-4.26e-10,45514231.48,-210437817.4,-1.43e-09,7723422.686,-584566860.0,14989474600.0,99098574.42,-109668884.2,48764073705.0,-481000000000.0,987354826.4,14950221248.0,-689000000000.0,22029900000000.0,1.886232602,0.056465345,0.015609146,0.000548904,-6.69e-08,-2.25e-06,1.58e-07,36,1.501779772,3.793733756,5.697352615,I,../Images/Training/39.5 hold 1.bmp,36,35.0
1227,36,974025.8324,363.8065396,0.779036535,398.6566096,342.4943958,1469.377912,115,204.625,255,8.033367125,4.795303309,186.4107686,253.9159206,499.518558,11094.08,300636.45,9235568.61,308459603.5,220710.35,6145342.61,191437954.7,6454193842.0,5483764.39,154867762.9,4831815185.0,162000000000.0,153437245.0,4354583451.0,135268000000.0,4510000000000.0,11094.08,-5.83e-12,1088676.297,-817066.0859,-1.38e-11,164353.1001,-1205927.985,53528770.47,1092858.736,-275188.9462,82425933.94,-183982124.4,857308.1326,17892678.48,-123578561.4,5557941632.0,1.556176264,0.00586867,0.00091856,6.03e-05,1.21e-09,8.58e-07,-9.11e-10,37,1.16397995,3.68582353,4.290224687,C,../Images/Training/39.5 hold 1.bmp,37,36.0
1228,37,1265246.394,414.6415487,-1.173893889,574.8671758,327.2659781,2074.052203,108,170.5643693,223,7.378934972,7.703423456,205.1530429,269.944948,634.1905068,14411.06,415175.33,15008819.15,604990325.7,315525.38,8273175.91,279328554.7,10741125602.0,8349494.56,206351490.3,6563046013.0,240000000000.0,245255383.6,5828839855.0,176000000000.0,6149690000000.0,14411.06,-1.07e-11,3047828.45,-3018926.116,3.46e-11,-816950.2684,-2212717.892,-279521114.8,1441170.993,1580496.914,239089471.5,522440648.2,-661953.1214,-165776440.3,-401826573.8,-48018122900.0,1.897740738,0.100155629,0.0011898,0.000128144,-4.74e-09,-1.31e-05,2.45e-09,38,1.756574818,3.607880724,6.337512425,C,../Images/Training/39.5 hold 1.bmp,38,37.0
1230,39,2398867.675,570.937291,0.043478684,744.0142277,459.223224,2390.415785,101,199.8947188,255,8.332698994,7.37220077,364.1511043,251.7978635,821.4129147,27322.92,734242.57,23845534.97,854315250.2,1061864.62,28824668.64,939742655.2,33617001484.0,52022090.08,1449172258.0,47512139464.0,1690000000000.0,2874003880.0,82383906695.0,2720000000000.0,97019800000000.0,27322.92,4.46e-11,4114402.587,-7611144.899,3.41e-11,289423.9597,-2533818.655,-7435923.459,10754302.04,28698485.89,1175791468.0,6690422983.0,16342890.2,494072982.9,1878645798.0,39293206128.0,1.748630684,0.065572454,0.004735133,0.000321623,-3.45e-09,-8.57e-06,-4.22e-08,40,1.620158103,3.212863002,5.205346028,C,../Images/Training/39.5 hold 1.bmp,40,39.0
1233,42,2927013.439,630.6633917,-1.423836148,869.2745427,493.754837,2766.880548,110,189.3400787,255,8.037237223,7.711726241,253.8853907,409.1751012,884.2123017,33338.46,1455845.01,81247597.95,5129270295.0,903324.22,37687339.36,1994574041.0,121000000000.0,30522418.94,1233361200.0,61998881310.0,3580000000000.0,1175107048.0,46288382458.0,2220000000000.0,121778000000000.0,33338.46,-1.49e-10,17672834.95,37801546.58,-1.29e-10,-1759595.444,-53196808.57,-1172212402.0,6046343.967,-4156697.915,2393139194.0,7356900064.0,20426892.54,-813529999.0,-14069009126.0,-436000000000.0,1.873646964,0.098266451,0.006538415,0.000412862,3.8e-08,1.33e-05,-6.16e-08,43,1.760538789,3.182976623,5.603753809,C,../Images/Training/39.5 hold 1.bmp,43,42.0
1234,43,1135266.595,392.7662782,0.628947873,446.9670711,369.6927191,1657.500943,131,214.1181159,255,7.952398524,5.266260453,222.1029493,214.3964638,507.8851171,12930.6,295867.12,8228883.92,257158075.8,306502.07,7289466.46,208179998.9,6666388914.0,8903121.01,213591530.0,6109383436.0,196000000000.0,287167534.1,6843331469.0,194000000000.0,6153510000000.0,12930.6,4.23e-11,1459101.18,2099817.593,-2.82e-11,276343.7337,479505.1689,103858705.3,1637911.436,-3222896.655,153600932.9,-790840833.3,-1517562.494,35987401.0,-235548995.2,15466721578.0,1.626240609,0.009929701,0.003139637,4.99e-05,8.61e-10,1.5e-06,-1.92e-09,44,1.209023191,3.708328981,4.483455739,C,../Images/Training/39.5 hold 1.bmp,44,43.0
