Region,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,RC_Labels
107,106,160141.54559999995,451.5512690857255,0.9660279338704812,478.8302858362891,464.37508270217353,2128.388737658513,98.0,199.54605263157896,255.0,0.8172043010752689,0.2438560978265988,25.635416666666668,22.50877192982456,562.5122466222401,1824.0,41056.0,1216104.0,41422810.0,46759.0,1060768.0,31809960.0,1103148622.0,1484413.0,33289568.0,987945476.0,34248764102.0,52961731.0,1165213810.0,33835984290.0,1159919598412.0,1824.0,-9.066525308298878e-12,291983.85964912275,905406.2129886115,1.7621459846850485e-12,8280.333333333356,261866.98099415225,10989151.873057092,285726.5520833332,-547285.2569444443,36090525.55167214,47798483.49732725,258746.8088107626,-1124931.2282357896,2807033.686115509,1581067310.1542451,0.1736442979247388,2.8314762896699346e-05,0.0003351316578211,1.977714250593128e-05,-1.4561923263514343e-09,7.863302665109525e-08,6.869703110731586e-10,107,1.0311282919186824,4.4449751835167,4.583339668600507,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
109,108,610364.0487999999,881.5552413869607,-1.0936909716084378,1139.1583959091408,795.9299604540613,5165.838852272488,76.0,174.15678941311853,255.0,0.7759794619935261,0.7154147910189094,57.49266398158803,56.80653049482164,1154.6030181841722,6952.0,394919.0,28162971.0,2211193889.0,399689.0,21364099.0,1506334643.0,118961698159.0,26807483.0,1370242481.0,95308054717.0,7506538719113.0,1953481445.0,96225143449.0,6604699444745.0,517672084584697.0,6952.0,-6.154721177153988e-11,5728992.783515532,-39535188.45905396,-1.0778933301480719e-10,-1340846.3669447645,39508074.63922879,-1918018141.747449,3828297.625863061,1580039.722464261,2658376363.180367,-33531589304.820404,-27950225.361645844,-1721755370.7735536,37115059656.95528,-2131429077824.952,0.1977494370691024,0.0046254103206307,0.0014419380112785,9.694039822766936e-05,3.3515374544763436e-08,6.163266705995268e-06,1.379540370623332e-08,109,1.431229445439238,4.534785391411464,6.490318380935787,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
111,110,219492.24999999997,528.6456397842477,-0.386971319063742,651.5272640252638,484.848556142686,3090.179011884949,94.0,189.6716,255.0,0.6985191394244202,0.6679876922037213,33.3972,40.79,714.3972142302908,2500.0,101975.0,4625931.0,225922709.0,83493.0,3287874.0,144737436.0,6890487546.0,3495875.0,134648556.0,5750111830.0,264833575788.0,165774993.0,6312875430.0,262960691040.0,11736101491914.0,2500.0,6.330935775622493e-12,466370.75000000006,-815542.2749999998,3.296918293926865e-12,-117805.47000000002,-145136.5505999993,-48915251.02439701,707442.5804000002,-79439.56463200074,71520688.38162999,207932637.37439337,1769353.7577302444,-46936247.28115826,-275852298.53246087,-9348343529.96606,0.187810132864,0.0029088804469783,5.318828804696004e-05,3.52161180591007e-05,-2.9704352956394104e-10,1.8478853368029151e-06,1.4948974266175063e-09,111,1.3437747844576975,4.742977282014592,6.373493274826915,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
114,113,1333898.3016999995,1303.2160474685363,-0.3790864562025538,1705.8722039782674,1056.5368518926014,7457.513022314078,110.0,196.1538866583295,255.0,0.7876101607050285,0.7851127420306536,89.08984400710854,68.76035016125847,1763.2039669306553,15193.0,1044676.0,86562136.0,7991276476.0,1353542.0,86400346.0,6776730044.0,599549840872.0,149402898.0,9108089648.0,682244333710.0,57866197087862.0,18406656788.0,1090972149190.0,78738228566252.0,6427421414091208.0,15193.0,3.211653165635653e-11,14729848.434937138,13574621.51643589,-9.142127055383751e-10,-6669675.877970127,-17858651.499466185,-14105434790.48191,28816052.362930298,23494833.50588162,22339477540.463978,155856988859.25955,-38059308.85821112,-22143811569.700657,-227609646820.9029,-39837249363207.99,0.1886514741501226,0.0070636418286702,4.298324794438911e-06,5.560165683671065e-06,2.709340537865552e-11,4.280828371375256e-07,-2.192680679556445e-12,114,1.6145884555966932,4.37167157359291,7.058450454383342,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
116,115,505622.3470999999,802.3580042783448,1.07942456458737,923.8785513236604,710.9293076514285,3686.757987506334,102.0,205.4596284077097,255.0,0.8896956588907771,0.6386406006028492,45.934016322278175,47.284945303004,972.360435281074,5759.0,272314.0,16057884.0,1060218910.0,264534.0,13102215.0,794954607.0,53385255441.0,14540902.0,742511073.0,45526679605.0,3063498637419.0,887361936.0,46387947813.0,2856455949705.0,191571766149051.0,5759.0,-3.836930773104541e-13,3181531.4047577707,45666.47049574542,7.16298131919757e-11,593739.2792151405,1201642.5588845254,532119420.9031688,2389792.926202465,399657.7883666304,995784448.332359,-501172200.36974674,-105668.36674531292,615761723.4895488,401110881.7496509,403423671125.5587,0.1679825943547637,0.0018517960423441,2.3834301653218263e-06,2.209170169534209e-07,-1.7852945984708573e-14,1.737916821749869e-09,1.593069903023074e-13,116,1.2995364537378753,3.990522328096304,5.185829234816081,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
118,117,250484.55569999997,564.7360814244628,0.9255950393744328,1001.3100974189272,387.2463245826036,3247.861374043821,102.0,187.6403785488959,255.0,0.7180971558016612,0.9221889377806,38.18541885734314,44.37259025587101,961.8294730876154,2853.0,126595.0,7027389.0,428900293.0,108943.0,5666132.0,339131228.0,21557279684.0,5090847.0,291571234.0,18257821638.0,1190633499802.0,271466077.0,16532597756.0,1066109240996.0,70726680723044.0,2853.0,7.815970093361102e-12,1410040.9365580094,-8057497.109401433,-2.1742607714259066e-12,832048.8997546443,-3052894.2418080587,671206775.5347712,930812.9134244656,2132894.519824608,582919203.892692,-1840447973.876535,5982990.012477025,602911406.5903525,1485272163.512458,469366176460.1871,0.2875879971608556,0.0452639180455841,0.0023185393257931,0.0002311198099347,-9.769949889096984e-08,-2.929335420342886e-05,-1.3812502223093406e-07,118,2.585718788934141,3.2436119264310026,8.387068302183508,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
123,122,1051280.0805999998,1156.9491653535556,0.3842524114842412,1363.6506406704484,1069.7482467833715,7409.939991265078,104.0,200.16335393352264,255.0,0.8025469168900804,0.6201619169539586,83.43686320360781,62.85977952229831,1506.6773531184438,11974.0,752683.0,57924609.0,5005231189.0,999073.0,64920111.0,5026445357.0,433012161063.0,98353479.0,6463539359.0,495610713353.0,42048813367847.0,10757249755.0,707593089891.0,53459689271453.0,4449536670549087.0,11974.0,2.48121523327427e-10,10611121.569817932,30077513.618544277,-1.2222756140545243e-10,2118602.4933188623,-72952091.5062999,4034596362.342716,14993961.768581923,-72477739.02673298,9948834296.028065,-105777078971.26788,48845708.14749445,5289398225.749045,-123218177745.00578,8837204260770.492,0.1785861135349508,0.0018078234721376,0.0005400244011579,9.66449885952568e-06,5.031233177448242e-10,9.433893656673893e-08,-4.840876622405139e-10,123,1.2747397761770702,5.433899101621753,6.926807324570097,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
126,125,461284.9125999999,766.3720976862501,-1.506158119718133,984.3836986573236,669.4737600455288,4517.254010429129,94.0,196.97335363532545,255.0,0.7670072992700729,0.7331246270736667,40.37362009897221,58.82927293490674,1079.0156119815874,5254.0,309089.0,21799617.0,1708665359.0,212123.0,12353481.0,879418023.0,69825559581.0,10248625.0,586931481.0,41664879115.0,3307946566641.0,549481829.0,30825118683.0,2170153706769.0,171361261327023.0,5254.0,-5.076117304270156e-11,3616135.857822612,740453.9314681261,5.6218141253339127e-11,-125560.86277122202,14061876.470724892,-337541906.50447696,1684451.5837457175,-5848983.186859559,1046805443.664316,-12077151023.55277,-307079.9213524279,-178060314.51439098,11475247440.750608,-408525457934.0548,0.192018850885425,0.0049795537112967,0.000534534204254,5.377451967879328e-05,-8.880253824853095e-10,-2.5313813503436497e-06,-9.073661422479744e-09,126,1.470384288983005,4.588915904022545,6.7474698487389935,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
129,128,678582.2400999998,929.514788720594,0.2366148301099649,1236.352971539931,781.6689773888403,5232.094757669667,89.0,192.05899857678872,255.0,0.7830007091480093,0.77477446525345,79.03635657911761,53.30016819769698,1351.6854253116735,7729.0,411957.0,25596573.0,1726431627.0,610872.0,33710034.0,2149942614.0,148233242952.0,56413940.0,3240945606.0,211076417890.0,14735950246356.0,5730354282.0,340631913192.0,22511916557640.0,1582241684264346.0,7729.0,-6.515676886920119e-12,3639195.609781344,-25809495.395961348,-1.6217427400988527e-10,1150453.6527364478,4243996.779570765,1298761329.2831984,8132842.783801268,52217785.05436177,2453346082.675804,20087458748.81205,-13978520.39778706,1261981599.7427516,21861112123.854294,1631994559284.389,0.1970629842276406,0.0071421038425687,0.0012329368786144,2.872074273206457e-05,-3.299400961983038e-09,-2.3615765945877888e-06,4.280619525487718e-09,129,1.5816835608213076,4.23187785212573,6.693491630111051,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
131,130,722568.4869999998,959.1677493680944,0.412733632042853,1048.1988321865738,924.2367013076216,4308.06031049,121.0,206.22466585662207,255.0,0.9089905014358296,0.471739512484246,67.34447144592953,50.14908869987849,1151.862297672773,8230.0,412727.0,25932935.0,1826145935.0,554245.0,28321226.0,1831573114.0,133011937874.0,43531925.0,2271681818.0,149460038658.0,11026779405794.0,3731967799.0,198305684684.0,13189216855660.0,982047167622776.0,8230.0,4.5389469960355193e-11,5235052.068165249,566696.4070137285,9.134737410931848e-11,526344.3335358448,32341936.0450186,1194190042.8565438,6206588.423450789,17702688.017478958,2995767810.547736,26568825555.92852,-35625514.86828268,413012636.3972682,40955359971.41405,1470737369987.6094,0.1689229383595865,0.0004472864091951,0.0005391553699901,9.125485380038062e-06,-5.05599016624401e-10,-1.7208661278523352e-07,-3.925361471485021e-10,131,1.1341237917771163,4.109964806489298,4.661208870406145,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
132,131,111589.85989999997,376.9358332874928,-1.165825802994226,427.0553544752034,361.7997430433193,1683.727478228667,135.0,201.06294256490952,249.0,0.8400528750826173,0.5312798911951904,25.50432730133753,25.677419354838708,468.8746501998162,1271.0,32636.0,995790.0,33563936.0,32416.0,815493.0,24867007.0,843921729.0,952414.0,23557339.0,709776349.0,23885286103.0,30242326.0,738328983.0,21898897585.0,726350295243.0,1271.0,1.7337242752546445e-12,157781.7419354839,-108237.327783558,3.744560217455728e-12,-16866.225806451603,336215.2225324232,-4642078.914352915,125665.72619984264,-37871.19080733971,8165709.974581295,-11289672.599768182,-458392.00549818913,-2405308.549445474,23352805.59247373,-445371487.68201536,0.1754613558374007,0.0008312674384325,0.0006488743589667,1.0936492465034504e-05,-7.985236596612431e-10,-1.862787583225068e-07,-4.5949894429507965e-10,132,1.1803638965660372,3.942644578939312,4.653755317971769,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
134,133,320546.4818999999,638.8524529817618,0.4751192397598299,941.661022838972,574.0618169968217,4100.645625347462,130.0,199.17967680087648,255.0,0.7419223735013208,0.7926885501787846,49.11969323473021,33.440701177759514,954.1770553728484,3651.0,122092.0,5242376.0,264632548.0,179336.0,6586187.0,308313305.0,16665270635.0,10810534.0,420216097.0,20534754087.0,1144900671937.0,708356048.0,28538723093.0,1430739824663.0,81242986026233.0,3651.0,1.3933743048255563e-11,1159533.9118049848,11772564.622243654,-3.4418690120219247e-11,589065.4135853192,11411883.119168015,545515850.1895868,2001604.6940564208,834835.1129899977,600566352.7251847,8302375211.693902,-19290482.88211596,463987038.1016191,5649841575.548427,394101132118.1882,0.2371482219323008,0.0118023020177902,0.0045488515835838,0.0003406984629819,-4.231960116352196e-07,-3.649897171344034e-05,-2.8236819409502133e-08,134,1.6403477725887237,4.354694020343549,7.143212636575975,Multiple Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
136,135,196138.27459999995,499.7309350609029,-0.7402994313240037,559.0749639950692,498.29862047280784,2631.543540326667,135.0,213.07699194270367,255.0,0.7927608232789212,0.4534312707948577,31.96821844225604,28.622202327663384,636.6085849248343,2234.0,63942.0,2271536.0,91176726.0,71417.0,1993220.0,70533062.0,2836234484.0,2733655.0,73521654.0,2547927176.0,101319754494.0,115386815.0,2992222742.0,101291742548.0,3974879508206.0,2234.0,5.567102334680385e-12,441375.138764548,894105.9651900432,-1.758593271006248e-12,-50891.82363473591,829375.0983458211,-24662238.040157847,450580.7435094002,-1467730.634268636,74619212.4454643,-204736400.81513804,-811792.4545307335,-13610530.779021636,413084972.2618991,-8313173764.970786,0.1787215969432182,0.0004193352611557,0.0007000044191735,5.918990453214122e-06,-3.035256022182478e-10,-3.503974742063324e-09,2.302848657782341e-10,136,1.121967713786954,4.706960085499153,5.28105724601393,Crystal,../Images/Organized images 20230613/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag/L-3_nM-3_au10_mixing-T_oven-T_embed-Ag_01.tif,
