,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
21,21,1229.1565999999998,39.56021726169133,-1.325817663668032,44.2336594526321,42.83428571428572,124.08354323830768,164.0,173.85714285714286,181.0,0.7777777777777778,0.2495417044725433,2.2142857142857144,2.4285714285714284,50.458994242850295,14.0,34.0,102.0,334.0,31.0,75.0,231.0,771.0,87.0,215.0,675.0,2279.0,271.0,699.0,2247.0,7695.0,14.0,3.1086244689504387e-15,19.42857142857143,-8.081632653061217,-1.7763568394002505e-15,-0.2857142857142858,6.530612244897957,-11.096209912536438,18.35714285714286,4.9795918367346985,19.65597667638484,7.937109537692642,-2.938775510204088,11.981049562682214,12.640566430653896,8.552299637055995,0.1927842565597668,3.83821791940432e-05,0.0019291955735208,4.187977545600792e-05,-2.712394446759527e-09,8.747380084075676e-08,-1.1590912790349834e-08,22,1.032669477616144,2.8051837621796443,2.8968276503073427,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,22
22,22,276472.4380999999,593.3090604552272,0.3387667857347546,700.133617540089,540.8167506820821,2956.94417004159,104.0,171.10892346776754,229.0,0.8245614035087719,0.6350781242697223,42.08034296602096,32.02413464591934,759.2013227728202,3149.0,100844.0,3934040.0,170082758.0,132511.0,4382462.0,172207988.0,7433308190.0,6626005.0,225765374.0,8905928588.0,382700279918.0,370476697.0,12914408456.0,510462808310.0,21837235185800.0,3149.0,-1.6271428648906294e-12,704598.16576691,-1029761.7260071686,9.450218385609332e-13,138911.89393458245,-2234830.832606562,63491693.16845257,1049896.6732295963,1882377.4378117183,181728723.6889996,551484220.2722486,3292109.928658571,74642661.26458499,-314129495.3560159,31332965047.06387,0.1769321576878591,0.0019975087400966,0.000466706162825,5.95777714200633e-06,3.8770262866777175e-11,2.070877499895365e-07,-3.1175651900468167e-10,23,1.29458567371864,4.223399785359226,5.467552856512433,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,23
23,23,491487.0461999999,791.0630461264878,0.5565756005794116,1335.892367738578,657.2855019410005,4902.308617221257,96.0,179.42961772061452,226.0,0.6231771123232773,0.8705840061328511,81.93193997856378,43.14397999285459,1382.6069230623718,5598.0,241520.0,13646054.0,902511206.0,458655.0,22205926.0,1352694862.0,93465715324.0,43185965.0,2231030164.0,141696988276.0,10057120236370.0,4324216389.0,234153307120.0,15333032083972.0,1111249443111082.0,5598.0,1.8467005702405004e-11,3225919.952125759,35408073.49645826,1.77351466845721e-10,2417723.8563772724,26026725.35218297,2651456422.3044486,5607471.069131833,-28361857.70300826,3652498296.187572,35183262232.0802,-132955469.43163998,5871227354.52549,-18622290712.89884,5437115361216.276,0.2818783153063517,0.0295845177646925,0.0107421313117877,0.0020888450674277,7.46367010112842e-06,0.0001150776339326,6.496121279260577e-06,24,2.032438512326248,3.669688318917467,7.458415867601626,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,24
24,24,390784.0018999999,705.3804963769136,0.2973026561221512,865.5907597286582,601.7844481669205,2936.5965322004618,95.0,157.9784318130757,208.0,0.8977410246066962,0.7187875858868785,47.84610199955066,31.66883846326668,875.2302282828216,4451.0,140958.0,5716700.0,263731422.0,212963.0,7087836.0,300359594.0,14380342332.0,12458209.0,424712236.0,18291130266.0,886807991524.0,804616061.0,27722323524.0,1199662011422.0,58342635114720.0,4451.0,2.245315045001917e-12,1252723.867894855,3345553.534161774,-6.188827228470473e-11,343545.1543473378,5078430.7034410015,245697704.5918681,2268759.5798696927,-2699365.3553233314,531608975.3918358,25303552.52864506,-8563282.087526042,269148099.3313855,2359656435.4793,163349047568.213,0.1777503492945576,0.0038330033651152,0.0003991626626802,7.190550105018777e-06,2.0870661332673688e-10,2.5484447794400304e-07,3.237936938886629e-10,25,1.4383734281690248,3.3925922835879323,4.879814593324155,Crystal,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,25
25,25,463479.8350999999,768.1932401659443,0.8830105016697622,1064.525029779137,609.2071200048904,4045.64318483818,86.0,167.99185451790112,224.0,0.7934766270855254,0.8200578091233544,53.178253457094144,48.47527940897897,1088.6149715119666,5279.0,255901.0,15509289.0,1044705571.0,280728.0,15013102.0,947780904.0,65171281048.0,17477488.0,991216460.0,64071550042.0,4458897195626.0,1198210590.0,70644656782.0,4637778607068.0,325115794255432.0,5279.0,-1.4864554032101296e-11,3104416.5239628726,-8086463.511506995,9.151790436590089e-11,1404733.7620761506,-13165720.605057351,1627547031.32275,2548863.2634968758,-5412230.245922954,1663280804.7469473,-12212485368.004871,-2299889.964747298,1507050409.514495,-16153161710.982918,1545320645667.271,0.2028603431266795,0.0105608708283861,0.0003536947651795,0.0001027864957049,1.4027313595530536e-08,9.990159101119087e-06,1.3686776259927229e-08,26,1.7473942684231785,3.800420912298842,6.640833719746584,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,26
26,26,1217655.2060999996,1245.1372455513344,0.5369485581099132,1714.608885186297,999.9002788623328,7643.742787262847,101.0,178.04138726656572,237.0,0.7705856206245139,0.812353567493279,85.49578195976639,79.66169154228855,1861.9677728682632,13869.0,1104828.0,102895130.0,10569909114.0,1185741.0,102877071.0,10088197233.0,1076057289429.0,125389411.0,11288539015.0,1130779902933.0,122479637544073.0,14732208123.0,1347037609389.0,136026083441223.0,1.4815794006046236e+16,13869.0,8.381562111026142e-11,14882662.656716416,1952842.9617583123,5.663309821102303e-10,8418937.208955212,-50235924.309190266,24100930361.984997,24013557.00324465,-139760806.6508437,27775679757.90334,-372859057817.26135,-94173287.17518348,24676478225.28258,-421320024971.0255,70744725214281.92,0.2022167367808849,0.0099163540141082,0.0003520277269633,7.76512930897482e-05,1.0725998060078858e-08,6.962358558628036e-06,-7.055346474316712e-09,27,1.7147798849872768,4.45800955150908,7.644505106008921,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,27
27,27,414752.5555999999,726.690687342207,0.8135007669357016,1224.2291526725926,520.4929658282231,4323.917987506334,98.0,166.7116850127011,227.0,0.7710135465970296,0.9051183255653464,58.74618966977138,51.49491955969518,1284.9205051286249,4724.0,243262.0,15618288.0,1115862010.0,277517.0,16351965.0,1106591893.0,81278421795.0,19162647.0,1198916943.0,83289761931.0,6210358914417.0,1442134487.0,92997037011.0,6551474159911.0,492487305514257.0,4724.0,-1.2391865311656147e-11,3091530.878069433,-6796741.985150906,-1.0692247087717988e-10,2061249.408552075,-23210761.136831008,2913878816.987454,2859580.681414057,-30043120.238842584,2685461903.8740616,-54609894933.0644,-19576946.409603987,2688369102.67295,-61878587063.43064,4102418966246.491,0.2666725499692909,0.0342337278525382,0.0040167613228412,0.0013550766986193,3.1607470627251457e-06,0.000245454957978,-6.579955216599827e-08,28,2.352057055611817,3.5319514962267204,8.307351436778772,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,28
28,28,225813.62679999997,536.2041023545306,-0.6979303767122702,749.3924928182979,444.3835711315231,2805.3594065486413,111.0,182.1454121306376,226.0,0.7916281932902431,0.8052085294631545,31.451788491446344,27.9696734059098,819.1116589330175,2572.0,71938.0,2648966.0,113625556.0,80894.0,1934334.0,61590054.0,2339163534.0,3297174.0,70318510.0,1975617010.0,66784717726.0,155087858.0,3048849660.0,77472570384.0,2365206665820.0,2572.0,8.526512829121202e-13,636883.6345256609,3907987.606137637,1.6562751170567935e-11,-328244.7604976671,-3362866.856390989,-182028338.80276892,752913.021772939,-1254600.381261052,202954895.11166817,1483452820.8444529,4024916.50598744,-196414878.39568427,-737630782.9023684,-94873812939.39217,0.2100919122277778,0.0101561840347933,0.0022926891874053,6.644702778389683e-05,-6.055338997276737e-09,-4.126653350606955e-06,2.521816999705073e-08,29,1.6863640816201595,3.7435114888838967,6.312923313986209,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,29
29,29,356543.2108999999,673.7691856450018,-0.5883123558657133,872.5811467189737,543.7489057281838,2817.002949786949,100.0,169.32898300911106,216.0,0.9026450322293844,0.7821023773802726,38.86899778379709,35.701797586801284,933.620706282803,4061.0,144985.0,6445619.0,325163413.0,157847.0,5013848.0,204997438.0,9767969192.0,7921823.0,228943924.0,8576526802.0,380954126524.0,454505717.0,12192262988.0,420100754914.0,17297176594316.0,4061.0,-1.27613475342514e-11,1269393.876877617,4403941.639940291,-3.871036824421026e-11,-621573.6436838215,-1154719.8020197568,-370322551.26588094,1786468.3068209796,-5559508.106840582,498375121.2400295,-546897613.5658494,7715931.052070325,-568912100.6549737,1427371321.5512047,-275638938726.2208,0.1852967427534456,0.0066652035541336,0.0005155869686718,4.0185519151611344e-05,4.9002074408234585e-09,2.21905232050827e-06,-3.073563367560832e-09,30,1.6047501659804182,3.228356423215504,5.18070550599903,Crystal,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,30
30,30,407202.0221999999,720.0456356101088,-0.8731541328832518,971.9488897319596,586.3194390396342,3377.7666889012826,96.0,161.1265631737818,206.0,0.8693533270852859,0.7975589461111336,54.52608883139284,45.8096162138853,1113.808869151256,4638.0,212465.0,12033173.0,764277647.0,252892.0,10608120.0,549409094.0,31987142622.0,15743012.0,631551136.0,31043797710.0,1714865959138.0,1065715090.0,41702822790.0,1977781185428.0,105221107509756.0,4638.0,-1.8431478565617e-11,2300232.8911168594,2297038.145474834,3.8525627132912626e-11,-976765.4635618798,-17222263.88802289,-1169804023.622653,1953800.343251401,16888199.096632592,1257923633.2132826,31848656580.190865,-5755962.935546958,-1167671126.885738,-31626250129.498844,-1638444366667.1648,0.1977604264287805,0.0085067771886335,0.0020722176963917,0.0004175315519911,3.769556550794675e-07,3.610933178681599e-05,-9.348707657176915e-08,31,1.6577122043300656,3.4752513476637548,5.760966572136715,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,31
31,31,2083157.0463,1628.6061307887976,-0.0791986419881729,2092.083723756403,1429.6912651559028,8445.405779136641,98.0,170.95157415602478,218.0,0.818595825426945,0.730061474732326,105.29662409912756,78.83251148480633,2279.819396355773,23727.0,1870459.0,182224175.0,19896035569.0,2498373.0,193845449.0,18633256297.0,2025689110649.0,336750391.0,25628325629.0,2423680206737.0,261298597235969.0,51189478257.0,3794617992047.0,350959084872415.0,3.728178826306378e+16,23727.0,1.873559085652232e-10,34771194.400640614,48645036.645269416,3.0877345125190914e-10,-3107569.2158300416,-64379187.95513206,3865822910.126187,73680148.3595904,-264120341.85796675,103783216708.2116,-419883936960.9621,214257149.86329785,-53979806059.501884,-435895787569.9716,-104435605318470.77,0.192641243499677,0.0048985774499675,0.0001161262058197,9.161382428711245e-06,-5.897322668336786e-11,-1.2544320937650245e-07,2.9294079146404354e-10,32,1.4633115377733448,4.036839292441244,5.907153512766058,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,32
32,32,75944.31849999998,310.9586942218567,-1.4036193753878106,350.70606661846466,295.8824669621552,1290.0161012732049,103.0,166.3815028901734,203.0,0.8572844400396432,0.5368519000918252,19.94797687861272,16.477456647398842,374.8,865.0,14253.0,309985.0,7587483.0,17255.0,280737.0,6213683.0,155630661.0,398715.0,6417563.0,142563701.0,3594869027.0,10015049.0,159253665.0,3528544199.0,89001177537.0,865.0,2.920330643974012e-12,75131.8104046243,3756.3035904979697,1.2434497875801753e-13,-3581.514450867045,148137.88547562552,-129867.01496890472,54512.65895953756,-9358.19225500342,3520527.769799469,-5220819.788734868,-113343.1221891812,-933351.8780851872,15604698.298676774,-74927333.86023647,0.1732693633120543,0.0008510607238516,0.0006444976564714,2.56484359961491e-06,-8.966153694183542e-11,-5.940233235450874e-08,-5.3246373388532877e-11,33,1.1852884363821452,3.678339852263296,4.359893691971292,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,33
33,33,4111528.826999999,2288.003735105119,-1.4900379417313787,4111.4764929658695,1617.621386336801,17866.52872018867,100.0,168.3336109331625,223.0,0.6923827547459933,0.9193500798302948,98.86931454196028,215.4833013025838,4108.058485976069,46830.0,10091083.0,2734894863.0,814149599281.0,4630050.0,959400102.0,251084630002.0,71935048236870.0,548102112.0,112855070940.0,29028144575932.0,8089711536653459.0,73001176236.0,15146643777450.0,3862718296905814.5,1.0552823049103345e+18,46830.0,0.0,560434984.4416188,-16703335739.602062,2.0700099412351847e-09,-38298357.19602808,-2807237561.006907,-1409697162491.4253,90332242.20499682,2321283043.43038,918200670882.5056,3054075139756.437,948522387.8665236,-149286100829.79947,-6972848210223.365,-5696327442949260.0,0.2967408645774454,0.0471702604587069,0.0028768151352661,0.0009337162008232,1.530249583506583e-06,0.0001852845123209,1.315575997630062e-08,34,2.5416803509729498,4.34552617551278,11.044938494939462,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,34
34,34,911858.6033999998,1077.503797235006,-0.9834813605105548,1360.1979805280298,981.2874286834802,5709.631804971078,104.0,175.08030040439053,224.0,0.8098877105427323,0.6924875216840314,53.435104948969766,64.16522241478914,1399.6471804351268,10386.0,666420.0,54425782.0,5072727300.0,554977.0,32584453.0,2381443161.0,200206125865.0,38788801.0,2178449585.0,145875607185.0,11080129586117.0,3172798885.0,174595350931.0,11016539580327.0,771791347241011.0,10386.0,-2.8251179173821583e-11,11664794.47833622,83536628.62067668,-6.758682502550073e-11,-3025769.640092436,-138505848.23485494,-6820937793.754031,9133546.760735605,12922178.171495777,7510054040.164785,150112809711.93173,124011173.28783672,-5140954107.29972,-123600951135.78508,-8895663924067.363,0.192811113575877,0.0036979526462746,0.0024253125038681,7.872989605949941e-05,1.739906301168583e-08,3.0639795697333363e-06,2.9678661717935562e-08,35,1.3861361521291529,4.197647612117903,5.818511109055237,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,35
35,35,2957877.5609999998,1940.6407908600688,-1.0810527328590325,2951.8744740619427,1520.7898820234625,11631.615459911718,98.0,165.50513505491244,216.0,0.7461463501063076,0.8570732125262077,141.38498070644107,141.12831700801425,3067.9274547485634,33690.0,4754613.0,846019311.0,168099847329.0,4763260.0,608508446.0,102609049334.0,19794565425098.0,762888938.0,89452848490.0,14220825813486.0,2632499765872294.0,131347281040.0,14294480998856.0,2145068307567848.0,3.7997739753996864e+17,33690.0,3.4924596548080444e-10,175008780.28557432,-694823435.3666945,-1.6880221664905546e-09,-63722421.271594,980701510.459897,-579925524531.2098,89435514.80023742,-193596789.86728668,391090693320.1987,-9947871110888.805,-1803433809.29172,-338845988135.121,7113934122445.135,-2334838158270144.5,0.2329872634280798,0.018292070974886,0.0005191783997015,3.3781732592277024e-05,-3.571644166271526e-09,-3.586749191733888e-06,-2.694191982783666e-09,36,1.941014014463572,3.940416695262103,7.648404028329975,Incomplete,../Images/Additional/L1_2.5_5_10_nM/L1 5nM/L1_5nM_09.tif,36
